bookID,title,authors,isbn
7034,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith,140007570X
7035,Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3),Alexander McCall Smith,1400031362
7037,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith/Lisette Lecat,1419311743
7041,The Full Cupboard of Life (No. 1 Ladies' Detective Agency  #5),Alexander McCall Smith,0375422188
7045,The Tale of Genji,Murasaki Shikibu/Edward G. Seidensticker,0394735307
7048,The Tale of Genji,Yoshitaka Amano/Murasaki Shikibu/Rachel Nacth/Anri Itō/Junichi Imura,1595820639
7050,The Tale of Genji: Scenes from the World's First Novel (Illustrated Japanese Classics),Murasaki Shikibu/Masayuki Miyata/Jakuchō Seitouchi/Donald Keene/H. Mack Horton/Ayako Watanabe/Michiko Hiraoka,4770027729
7052,Blue Shoes and Happiness (No. 1 Ladies' Detective Agency  #7),Alexander McCall Smith,0375422722
7053,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),Alexander McCall Smith,0375422714
7054,Ein Gentleman für Mma Ramotswe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,3485009024
7055,Ein Koch für Mma Ramotswe (No. 1 Ladies' Detective Agency  #3),Alexander McCall Smith,3485009601
7058,The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8),Alexander McCall Smith,0375422730
7061,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,1400034779
7062,Paris to the Moon,Adam Gopnik,0375758232
7064,The Belly of Paris (Les Rougon-Macquart  #3),Émile Zola/Ernest Alfred Vizetelly/Henry Vizetelly,1557130663
7071,My Movie Business: A Memoir,John Irving,0345441303
7076,Setting Free the Bears / The Water-Method Man / The 158-Pound Marriage,John Irving,0517146541
7078,The Headmaster's Papers,Richard A. Hawley/John Irving,0839731949
7086,Blade Runner,Philip K. Dick,0345323882
7089,The Android (Animorphs  #10),K.A. Applegate/Katherine Applegate,0590997300
7090,The Soul of a New Machine,Tracy Kidder,0316491977
7092,No Better Place to Die: The Battle Of Stones River,Peter Cozzens,0252062299
7093,Never Call Retreat,Bruce Catton/E.B. Long,1842122916
7101,The 42nd Parallel (U.S.A.  #1),John Dos Passos,0618056815
7102,U.S.A.: 42e Parallèle/L'An premier du siècle/La Grosse galette,John Dos Passos,2070766039
7103,The Big Money (U.S.A.  #3),John Dos Passos/E.L. Doctorow,0618056831
7104,1919 (U.S.A.  #2),John Dos Passos/E.L. Doctorow,0618056823
7113,The King in the Window,Adam Gopnik/Omar Rayyan,0786838949
7118,The Karamazov Brothers,Fyodor Dostoyevsky/Ignat Avsey,0192835092
7119,The Grand Inquisitor: with related chapters from The Brothers Karamazov,Fyodor Dostoyevsky/Constance Garnett/Charles Guignon,0872201937
7126,The Count of Monte Cristo,Alexandre Dumas/Robin Buss,0140449264
7127,The Count of Monte Cristo,Alexandre Dumas/Brantley Johnson/Margaret Brantley,0743487559
7131,The Count of Monte Cristo,Alexandre Dumas/Lorenzo Carcaterra,037576030X
7135,The Brothers Karamazov,Fyodor Dostoyevsky/Andrew R. MacAndrew/Konstantin Mochulsky,0553212168
7138,Crime and Punishment,Fyodor Dostoyevsky/Leonard Stanton/James D. Hardy Jr./Sidney Monas/Robin Feuer Miller,0451530063
7139,Crime and Punishment in American History,Lawrence M. Friedman,0465014879
7140,Crime and Punishment in America,Elliott Currie,0805060162
7141,Cliffsnotes on Dostoevsky's Crime and Punishment,James Lamar Roberts/Fyodor Dostoyevsky/CliffsNotes,0764586556
7142,On Crimes and Punishments,Cesare Beccaria/David Young,0915144999
7144,Crime and Punishment,Fyodor Dostoyevsky/David McDuff,0143058142
7150,Crime and Punishment (Norton Critical Editions),Fyodor Dostoyevsky/George Gibian/Jessie Coulson,0393096335
7154,The Politics of Injustice: Crime and Punishment in America,Katherine Beckett/Theodore Sasson,0761929940
7160,The Beginning and the End,Naguib Mahfouz,0385264585
7182,The Black Tulip,Alexandre Dumas/Robin Buss,0140448926
7186,La Dame aux Camélias,Alexandre Dumas fils/David Coward,0192836382
7188,The Women's War,Alexandre Dumas/Robin Buss,0140449779
7197,The Knight of Maison-Rouge,Alexandre Dumas/Julie Rose/Lorenzo Carcaterra,0812969634
7199,The Way the Crow Flies,Ann-Marie MacDonald,0060586370
7201,As the Crow Flies,Jeffrey Archer,0312997116
7208,Under The Tuscan Sun - At Home In Italy,Frances Mayes,0767902807
7214,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,0785263705
7220,The Secret Life of Bees,Sue Monk Kidd,0143036408
7230,The Wounded Healer: Ministry in Contemporary Society,Henri J.M. Nouwen,0232521026
7231,The Dance of Life: Weaving Sorrows and Blessings Into One Joyful Step,Henri J.M. Nouwen/Michael    Ford,1594710872
7240,The Prodigal Son (Roger the Chapman  #15),Kate Sedley,0727891626
7244,The Poisonwood Bible,Barbara Kingsolver,0060786507
7246,The Poisonwood Bible,Barbara Kingsolver,057120175X
7252,How to Make Love Like a Porn Star: A Cautionary Tale,Jenna Jameson/Neil Strauss,0060539097
7260,Dominion: The Power of Man  the Suffering of Animals  and the Call to Mercy,Matthew Scully,0312319738
7263,No Dominion (Joe Pitt  #2),Charlie Huston,0345478258
7264,Dominion (Ollie Chandler #2),Randy Alcorn,1590525930
7266,O Is for Old Dominion: A Virginia Alphabet,Pamela Duncan Edwards/Troy Howell,1585361615
7268,Dominion,Masamune Shirow,1569714886
7269,Essentials of Conservation Biology,Richard B. Primack,087893720X
